n	ext	ecc	Ato	Nex	Nin	Nto	AF	BC	C	M	LA	P
CEP164	-0.638461634008309	0	-0.999999999999933	-0.986630137572887	0	0	0	0	0	0	1	0	0
NUF2	-0.662181531126041	-0.723571128334022	-0.999999823472272	0	0	0.984830006686754	0.999999999898281	0	0	0	1	0	0
DONSON	-0.659073325596037	0	0	0	0	0.739716870363284	0	0	0	0	0.999999999998715	0	0
SON	-0.647815555536002	0	0	-0.504714273287281	0	0.9999999997512	0	0	0	0	1	0	0
RRM1	-0.749825933918005	1	0	0	1	1	-1	0	1	0	0	0	1
TMEM61	-0.667122956401287	1	0	0	1	1	0	0	1	0	0	0	0.949258169429354
CLSPN	-0.53961037944179	0.999999333582293	0	0	0	1	0	0	1	0	0	0	0.999989861434343
CADM1	0	0.999999906964827	0	0	1	0.999998685474575	0	0	0	0	0	0	0
CD3EAP	-0.535483588951166	0.99999999974456	0.752886537349496	0	0	0	0	0	0	0	0	0	1
